Area_code,Area_name,ow_obs,hyp_ten,low_bw,alc,smoke,activity,eating,sti_screen,teen_preg,in_eet,pupil_abs,ey_dev,training,ks4_dev,low_pay,pov_child,unempl,wp_safety,incare_child,avoid_mort,suicide,inf_mort,dementia,disability,diff_adls,kidney,frailty,cancer,diab,srwb_sat,srwb_worth,srwb_hap,srwb_anx,depres,semh_child,self_harm,air_poll,pub_greenspace,priv_greenspace,env_noise,road_safety,road_traff,rough_sleep,house_afford,GP_dist,pharm_dist,sport_dist,crime_pers,hle,musculo,resp,cvd,ow_obs_child,drug,can_screen,vac
E06000001,Hartlepool,70.44500086,17.08,4.648648649,1020.75,18.6,59.06190458,50.62029635,573.3453979,38.02535023,2.8,14.80276,69.3877551,13.4,60.3,34.2,21.4,9,270,138.65,312.8,11.6,3.561022985,0.94,24.7,43.18,4.91,614.05,3.09,7.08,7.56,7.84,7.39,2.74,11.84,14.99,264.17,7.3237,637.0132195,94.1,5.137169945,180.57,0.004616966,3.217434203,3.98,0.86,0.86,0.4,113.7041248,57.69058793,0.735,5.1,2.118,34.81374808,106,68.73760534,89.51404935
E06000002,Middlesbrough,64.92679321,13.33,3.482880756,964.21,17.4,57.93347676,53.46347086,632.6721191,39.35599284,4.1,15.51724,63.86138614,12.3,59.2,26.8,30,7.4,197,137.36,379.7,15.6,4.199475066,0.79,24.1,38.08,3.37,771.68,2.33,7.3,7.61,7.92,7.43,2.75,9.76,17.73,391.33,8.0331,721.2491235,94.6,6.458387448,266.14,0.015339576,7.826674731,4.44,0.63,0.63,0.47,141.6414671,58.15416628,0.75,4.43,1.814,33.48930647,121,66.32223998,87.09477374
E06000003,Redcar and Cleveland,72.50697655,17,3.249390739,806.47,13.5,64.31142467,51.93797916,500.5548401,34.56553048,4.3,13.53662,71.44615385,17.9,61.1,29.1,18.7,5.3,450,103.2,288,10.8,3.305785124,0.97,26.5,38.54,3.47,592.9,3.53,8.19,7.71,7.85,7.59,2.61,13.24,17.51,286.55,7.389,743.7696675,94.7,5.376029491,198.5,0.002592768,0.731432584,5,0.71,0.71,0.48,83.931889,60.44573867,0.62,5.13,2.25,32.51135543,91,72.43323077,91.39256916
E06000004,Stockton-on-Tees,68.00095049,15.08,3.868269733,940.14,16.4,61.86028126,49.89948472,486.5671997,26.75159236,4.2,12.04075,70.46736503,16.8,66.8,24.7,16.8,5.7,341,108.21,275.7,9.2,3.509307293,0.99,25.2,38.72,3.91,598.62,2.93,6.92,7.68,7.82,7.6,2.39,14.71,15.3,280.98,7.6095,799.7352712,94.4,13.48014554,187.18,0.004795996,1.521197893,5.29,0.76,0.76,0.47,90.48085065,58.51302652,0.74,4.685,2.014,30.28729271,92,71.14734398,93.16531918
E06000005,Darlington,68.32580783,15.95,2.848722986,639.38,13.8,61.14548495,53.82782656,839.3812256,19.45754717,3.8,13.25309,72.63325378,21.1,65.3,23.4,17.9,4.7,259,95.21,253.9,13.1,3.526300323,1,23.3,35.8,4.33,648.65,3.21,7.7,7.73,7.93,7.58,2.98,12.85,15.56,220.82,7.1363,943.1271114,94.8,5.780455305,357.1,0.00276526,2.815156804,4.73,0.76,0.76,0.48,96.64433309,61.83839874,0.95,4.53,2.16,28.72588882,72,72.21544565,91.61771414
E06000006,Halton,74.41198389,15.8,2.465331279,862.71,17.9,62.8456931,45.93810901,744.4598389,36.63003663,4.8,13.36917,64.53045685,17.7,57.7,22.5,16.1,4.5,363,92.23,299.9,11.4,3.40367597,0.74,23.9,36.88,3.93,655.34,3.23,8.31,7.62,7.87,7.49,2.6,14.57,16.82,349.73,8.6189,509.8557638,94.3,4.49653743,261.39,0.009384656,3.893110751,4.42,0.67,0.67,0.44,87.42369503,58.47559798,0.77,4.905,2.148,32.2688278,91,68.70040807,90.64560866
E06000007,Warrington,66.92676108,14.1,2.482621648,733.12,10.5,59.62174994,50.6973984,567.2354126,19.45181256,2.7,10.32983,72.82780411,19.3,67,20,13,4,284,89.82,224.4,7.2,3.628666465,0.86,17.5,32.72,3.42,659.77,3.01,6.87,7.76,7.93,7.69,2.69,12.42,12.04,302.69,8.2857,508.036505,92.6,4.218623984,240.01,0.01010307,10.02161806,5.81,0.78,0.78,0.45,70.70967372,64.34761318,0.7,4.065,1.846,29.34484936,68,71.75387405,93.06680815
E06000008,Blackburn with Darwen,61.94726354,13.39,4.294149222,675.08,16.2,57.52306295,43.12546235,536.9325562,21.72459893,3.3,11.94186,67.43436205,11.3,63.8,29.8,31.4,5.2,270,97.52,331.6,9.8,4.679683718,0.67,21.4,37.96,3.78,644.85,2.49,8.82,7.8,7.95,7.67,2.55,14.02,17.69,247.92,7.8752,737.4578648,94.6,3.866147479,712.23,0.003668382,10.07103436,4.35,0.52,0.52,0.38,105.3094493,58.70017994,0.83,4.84,1.71,29.12606576,105,64.84547987,88.40062027
E06000009,Blackpool,66.50808554,17.86,2.959830867,1015.11,21.1,54.35495467,49.22093669,1254.673218,36.93314633,3.9,12.47746,67.87221218,21.8,46.9,30.6,22.4,5.7,274,185.33,401.8,13.7,6.048387097,1.08,33.7,39.87,7.1,722.37,3.48,8.12,7.55,7.8,7.44,3.05,17.23,18.91,378.84,7.195,708.8525777,91.1,3.842536305,864.5,0.011450683,8.614191881,4.92,0.47,0.47,0.45,170.9629949,55.2167625,0.915,5.505,2.434,32.46977235,110,64.5451309,90.0642363
E06000010,"Kingston upon Hull, City of",71.52644503,14.2,3.38245144,907.02,26.1,58.51560712,42.82848729,874.3835449,29.83069067,5.5,12.75176,65.93695271,18.4,56.1,28.7,26.4,5.8,260,133.38,352,14.1,4.571984436,0.75,27.1,37.37,3.44,722.81,2.61,7.35,7.62,7.86,7.35,2.86,10.69,16.99,255.51,9.7553,830.8928822,91.3,10.3589173,826.71,0.013831369,9.975253698,4.73,0.48,0.48,0.4,143.0297915,56.90231694,0.62,4.415,1.656,33.28021905,103,68.26537646,90.29717254
